0[[2, 2, 7, 13, 4], [4, 10, 7, 9, 11], [11, 9, 3, 11, 2], [6, 0, 10, 12, 0], [9, 2, 9, 14, 5]]
21[[8, 11, 9, 9, 8], [14, 5, 3, 11, 0], [13, 9, 2, 0, 4], [0, 1, 11, 11, 11], [6, 1, 9, 12, 0]]

22[[0, 1, 8, 7, 6], [9, 12, 9, 11, 11], [14, 13, 3, 7, 9], [2, 9, 2, 5, 2], [8, 12, 11, 9, 13]]

23[[8, 9, 9, 6, 10], [8, 7, 9, 11, 4], [7, 3, 7, 6, 4], [13, 11, 2, 3, 1], [12, 14, 1, 4, 9]]

24[[2, 0, 0, 5, 8], [6, 9, 12, 4, 11], [13, 12, 12, 11, 8], [0, 12, 2, 9, 6], [9, 3, 1, 14, 5]]

25[[5, 13, 6, 12, 13], [9, 0, 10, 2, 5], [7, 3, 2, 11, 10], [12, 7, 13, 0, 7], [2, 6, 1, 3, 9]]

26[[9, 6, 1, 10, 7], [11, 13, 8, 9, 5], [3, 11, 13, 13, 9], [8, 2, 2, 10, 8], [0, 0, 7, 4, 4]]

27[[6, 7, 7, 1, 11], [11, 3, 11, 1, 3], [8, 7, 7, 12, 14], [11, 4, 14, 11, 8], [7, 1, 2, 13, 10]]

28[[9, 9, 8, 3, 8], [11, 5, 11, 7, 0], [14, 0, 2, 13, 2], [12, 5, 3, 10, 10], [4, 10, 3, 13, 12]]

29[[3, 9, 7, 2, 9], [2, 5, 12, 1, 8], [7, 7, 5, 2, 7], [11, 12, 12, 13, 12], [3, 7, 0, 7, 12]]

30[[7, 5, 14, 6, 12], [11, 1, 1, 4, 10], [2, 6, 5, 1, 3], [3, 3, 11, 11, 11], [0, 3, 13, 12, 1]]

31[[7, 11, 8, 7, 14], [6, 1, 13, 2, 9], [3, 14, 4, 13, 7], [11, 10, 5, 8, 11], [2, 9, 9, 3, 0]]

32[[7, 10, 0, 2, 6], [12, 8, 11, 10, 8], [7, 1, 12, 12, 7], [1, 4, 6, 13, 12], [5, 13, 14, 13, 8]]

[[6, 13, 9, 6, 5], [9, 12, 3, 11, 12], [13, 1, 13, 3, 7], [12, 0, 1, 12, 14], [4, 10, 7, 9, 8]]

34[[12, 11, 12, 11, 4], [13, 5, 12, 14, 10], [2, 13, 9, 2, 1], [0, 12, 0, 9, 4], [2, 1, 13, 11, 10]]

35[[12, 14, 8, 9, 5], [10, 10, 3, 13, 4], [6, 7, 12, 3, 9], [6, 7, 9, 9, 13], [13, 7, 5, 4, 8]]

36[[2, 13, 2, 2, 9], [13, 14, 9, 10, 8], [6, 9, 5, 12, 7], [7, 5, 14, 1, 14], [9, 13, 6, 1, 1]]

37[[14, 4, 8, 1, 2], [7, 10, 2, 1, 8], [4, 10, 6, 12, 11], [8, 8, 4, 9, 0], [14, 10, 6, 13, 5]]

38[[4, 11, 12, 4, 5], [13, 3, 4, 4, 0], [6, 13, 14, 2, 4], [7, 0, 4, 14, 3], [12, 9, 0, 9, 5]]

39[[12, 9, 0, 6, 8], [2, 5, 14, 6, 9], [7, 7, 6, 9, 1], [6, 2, 2, 14, 6], [10, 8, 4, 12, 10]]

40[[4, 2, 3, 8, 1], [0, 10, 5, 8, 5], [2, 13, 8, 14, 2], [14, 14, 6, 4, 12], [7, 14, 1, 5, 11]]

41[[6, 9, 14, 5, 6], [4, 0, 2, 7, 3], [9, 9, 9, 7, 7], [12, 13, 11, 12, 9], [11, 0, 10, 8, 5]]

42[[9, 8, 11, 9, 8], [8, 12, 9, 0, 7], [0, 6, 2, 3, 10], [13, 12, 0, 14, 6], [3, 5, 12, 13, 4]]

43[[1, 0, 13, 3, 3], [3, 1, 7, 10, 5], [2, 6, 1, 9, 13], [3, 5, 13, 10, 4], [12, 6, 2, 7, 0]]

[[6, 6, 1, 4, 10], [14, 5, 12, 7, 4], [10, 1, 3, 1, 7], [0, 11, 10, 5, 4], [1, 9, 10, 9, 11]]

45[[5, 3, 10, 8, 2], [1, 11, 4, 13, 6], [10, 5, 1, 3, 4], [12, 1, 6, 11, 13], [13, 11, 2, 11, 1]]

46[[4, 6, 6, 8, 2], [6, 0, 0, 0, 5], [4, 5, 0, 5, 9], [3, 2, 13, 2, 4], [0, 1, 5, 14, 0]]

47[[1, 8, 7, 12, 0], [9, 13, 10, 10, 14], [5, 0, 3, 12, 4], [12, 9, 10, 7, 2], [6, 4, 10, 13, 13]]

48[[7, 10, 4, 4, 11], [1, 2, 9, 9, 3], [5, 12, 7, 0, 7], [10, 0, 12, 1, 3], [9, 11, 8, 14, 7]]

49[[1, 11, 8, 10, 3], [13, 3, 14, 10, 1], [1, 13, 11, 13, 0], [8, 6, 2, 3, 4], [1, 2, 4, 3, 9]]

50[[11, 9, 1, 0, 8], [2, 8, 1, 5, 4], [14, 2, 1, 13, 9], [10, 5, 11, 7, 8], [6, 4, 7, 3, 4]]

51[[14, 1, 13, 9, 12], [14, 3, 9, 12, 6], [7, 10, 10, 1, 3], [12, 4, 14, 5, 7], [10, 10, 2, 14, 12]]

52[[12, 12, 7, 5, 5], [8, 1, 5, 0, 10], [7, 3, 5, 0, 6], [9, 8, 9, 7, 14], [0, 6, 8, 11, 14]]

53[[6, 7, 0, 8, 9], [5, 3, 2, 9, 9], [4, 12, 1, 9, 13], [8, 6, 5, 9, 9], [3, 12, 3, 0, 13]]

54[[3, 14, 12, 11, 13], [2, 7, 1, 13, 10], [5, 9, 0, 7, 0], [3, 10, 1, 1, 11], [10, 12, 13, 6, 6]]

55[[9, 14, 6, 12, 4], [12, 3, 8, 14, 2], [10, 4, 1, 4, 12], [12, 14, 8, 7, 11], [6, 12, 7, 7, 13]]

56[[14, 14, 12, 8, 12], [1, 7, 2, 1, 4], [6, 3, 5, 1, 8], [14, 14, 3, 14, 13], [14, 4, 1, 2, 5]]

57[[8, 13, 6, 1, 4], [14, 14, 2, 11, 3], [10, 0, 9, 14, 11], [2, 13, 0, 12, 14], [6, 10, 4, 3, 6]]

58[[12, 8, 9, 14, 14], [3, 13, 1, 13, 1], [10, 10, 7, 1, 10], [10, 9, 9, 7, 5], [10, 12, 5, 3, 8]]

59[[12, 6, 5, 1, 13], [11, 11, 7, 6, 14], [1, 13, 1, 5, 10], [4, 9, 4, 0, 0], [3, 13, 4, 1, 5]]

60[[13, 14, 9, 6, 0], [4, 0, 9, 3, 5], [2, 6, 10, 2, 3], [5, 8, 10, 7, 6], [1, 11, 5, 5, 1]]

61[[12, 6, 14, 4, 8], [14, 1, 5, 12, 10], [7, 13, 10, 12, 8], [9, 1, 6, 14, 8], [5, 10, 3, 7, 14]]

[[7, 1, 9, 0, 13], [4, 3, 13, 14, 9], [3, 9, 11, 8, 4], [0, 5, 13, 5, 2], [12, 11, 12, 0, 4]]

63[[11, 0, 10, 9, 13], [3, 7, 11, 0, 0], [9, 10, 5, 3, 0], [8, 7, 4, 10, 3], [8, 9, 10, 4, 14]]

64[[11, 6, 0, 6, 5], [2, 1, 6, 5, 8], [13, 3, 14, 8, 12], [8, 11, 5, 14, 14], [0, 6, 10, 1, 13]]

65[[1, 10, 11, 11, 11], [10, 2, 0, 1, 7], [11, 6, 5, 9, 4], [11, 9, 5, 1, 12], [0, 6, 2, 10, 3]]

66[[5, 4, 4, 0, 5], [9, 4, 11, 11, 3], [7, 11, 0, 5, 9], [10, 0, 1, 12, 9], [6, 2, 12, 2, 8]]

67[[11, 6, 12, 6, 14], [10, 4, 12, 14, 6], [12, 2, 9, 13, 9], [6, 4, 12, 0, 9], [8, 5, 10, 6, 14]]

68[[0, 14, 3, 14, 12], [4, 7, 7, 4, 2], [7, 9, 1, 5, 7], [8, 1, 1, 0, 12], [2, 6, 14, 14, 5]]

69[[1, 1, 1, 3, 11], [14, 8, 10, 6, 8], [13, 1, 5, 2, 4], [6, 4, 0, 3, 3], [4, 8, 6, 10, 14]]

70[[6, 0, 0, 7, 1], [4, 10, 2, 9, 8], [1, 10, 6, 9, 9], [3, 13, 8, 13, 11], [3, 4, 0, 1, 9]]

71[[13, 3, 3, 7, 11], [9, 1, 1, 8, 12], [2, 8, 2, 6, 3], [13, 14, 5, 0, 10], [8, 10, 5, 6, 13]]

72[[1, 14, 12, 5, 8], [13, 5, 1, 4, 2], [8, 14, 4, 6, 3], [12, 12, 0, 1, 10], [13, 5, 3, 9, 10]]

73[[6, 1, 5, 4, 3], [4, 5, 5, 3, 10], [14, 12, 6, 1, 12], [7, 12, 2, 14, 9], [11, 12, 11, 5, 8]]

74[[5, 2, 14, 9, 8], [2, 0, 7, 10, 7], [2, 14, 1, 3, 10], [14, 10, 6, 4, 2], [13, 0, 11, 8, 2]]

75[[8, 14, 9, 12, 2], [8, 7, 10, 4, 4], [10, 2, 11, 0, 9], [1, 3, 9, 1, 0], [5, 7, 5, 6, 14]]

76[[4, 2, 0, 0, 3], [2, 5, 10, 11, 12], [6, 5, 6, 3, 9], [7, 14, 12, 13, 9], [5, 4, 5, 0, 5]]

77[[13, 7, 4, 1, 11], [2, 3, 7, 1, 7], [7, 4, 14, 11, 4], [6, 0, 14, 11, 2], [7, 11, 4, 5, 2]]

78[[3, 3, 11, 2, 6], [9, 12, 5, 7, 1], [3, 6, 12, 1, 4], [8, 2, 3, 10, 4], [9, 5, 9, 10, 13]]

79[[8, 9, 2, 6, 6], [12, 6, 11, 6, 4], [1, 5, 0, 14, 12], [6, 12, 6, 5, 1], [1, 2, 0, 10, 9]]

80[[8, 6, 5, 4, 6], [6, 2, 7, 8, 12], [2, 11, 1, 0, 4], [5, 1, 12, 10, 6], [0, 0, 8, 7, 2]]

81[[9, 7, 12, 12, 3], [9, 9, 5, 3, 14], [14, 1, 3, 1, 4], [5, 9, 8, 12, 6], [4, 6, 2, 0, 13]]

82[[10, 2, 9, 1, 14], [4, 3, 12, 13, 2], [2, 4, 1, 4, 4], [9, 10, 10, 1, 4], [8, 5, 5, 4, 14]]

83[[6, 1, 1, 14, 7], [6, 13, 5, 7, 7], [6, 12, 6, 3, 8], [1, 4, 7, 3, 4], [4, 4, 13, 11, 7]]

84[[3, 13, 0, 10, 8], [14, 10, 3, 11, 4], [13, 12, 10, 11, 13], [10, 11, 14, 6, 2], [3, 8, 11, 14, 13]]

85[[0, 5, 7, 1, 8], [4, 1, 13, 1, 14], [9, 1, 13, 14, 5], [1, 12, 2, 10, 10], [9, 13, 5, 7, 9]]

86[[11, 8, 8, 9, 7], [9, 7, 7, 5, 4], [7, 1, 2, 10, 0], [8, 3, 5, 4, 8], [12, 3, 11, 5, 7]]

87[[10, 1, 3, 9, 13], [0, 3, 10, 4, 11], [4, 13, 4, 8, 7], [11, 12, 1, 11, 0], [13, 14, 12, 0, 0]]

88[[9, 11, 13, 14, 13], [13, 12, 7, 0, 13], [8, 13, 11, 6, 13], [6, 13, 7, 4, 5], [0, 11, 10, 10, 0]]

89[[5, 6, 13, 2, 2], [10, 11, 6, 11, 10], [2, 10, 14, 12, 11], [1, 13, 14, 13, 11], [6, 9, 10, 6, 4]]

90[[10, 12, 3, 13, 13], [0, 10, 12, 12, 1], [14, 14, 4, 9, 6], [8, 6, 11, 14, 13], [4, 0, 9, 12, 14]]

91[[6, 7, 5, 13, 2], [10, 2, 7, 5, 2], [7, 14, 13, 4, 12], [6, 13, 7, 12, 11], [0, 9, 0, 14, 8]]

92[[7, 5, 1, 5, 11], [3, 9, 6, 8, 13], [11, 5, 14, 11, 11], [7, 10, 1, 14, 6], [12, 12, 0, 5, 3]]

93[[8, 14, 4, 10, 10], [3, 5, 5, 13, 9], [8, 13, 8, 12, 13], [1, 2, 8, 11, 13], [7, 4, 10, 5, 4]]

94[[8, 10, 2, 10, 6], [14, 11, 10, 6, 8], [3, 3, 8, 13, 6], [7, 14, 4, 14, 8], [10, 5, 9, 10, 14]]

95[[3, 13, 4, 1, 9], [10, 4, 13, 9, 9], [1, 6, 10, 1, 13], [4, 2, 12, 11, 12], [14, 2, 13, 0, 7]]

96[[5, 12, 0, 12, 8], [4, 6, 2, 14, 0], [4, 10, 6, 7, 10], [12, 2, 14, 1, 12], [10, 11, 3, 5, 5]]

97[[5, 13, 1, 6, 12], [6, 12, 7, 14, 14], [0, 2, 4, 13, 11], [12, 9, 8, 10, 2], [6, 0, 5, 2, 4]]

[[14, 11, 13, 13, 6], [11, 8, 2, 3, 4], [12, 11, 4, 0, 5], [13, 0, 5, 10, 5], [0, 6, 1, 3, 3]]

99[[4, 12, 9, 3, 6], [8, 2, 3, 10, 3], [4, 13, 7, 10, 13], [7, 14, 1, 5, 7], [5, 11, 11, 4, 5]]

100[[12, 2, 14, 0, 5], [5, 12, 3, 10, 11], [7, 2, 8, 4, 4], [4, 6, 8, 7, 9], [7, 4, 6, 6, 10]]

101[[13, 9, 13, 13, 8], [3, 7, 7, 7, 6], [12, 2, 7, 4, 13], [0, 8, 2, 0, 12], [7, 10, 5, 1, 11]]

102[[6, 10, 3, 2, 12], [9, 4, 13, 2, 11], [3, 12, 13, 6, 3], [1, 1, 5, 14, 6], [9, 9, 1, 4, 11]]

103[[6, 1, 6, 4, 12], [12, 2, 3, 4, 13], [12, 8, 9, 3, 4], [8, 4, 5, 3, 12], [14, 9, 1, 2, 5]]

104[[12, 11, 6, 1, 12], [4, 4, 6, 1, 12], [1, 14, 14, 4, 8], [9, 6, 5, 5, 14], [4, 4, 1, 11, 6]]

105[[7, 1, 13, 9, 1], [4, 6, 11, 3, 8], [0, 6, 14, 4, 3], [2, 12, 11, 14, 4], [4, 8, 8, 7, 0]]

106[[3, 4, 12, 7, 12], [4, 3, 6, 2, 7], [13, 3, 1, 3, 9], [3, 10, 11, 2, 5], [7, 10, 3, 8, 1]]

107[[11, 7, 7, 5, 14], [5, 5, 9, 14, 3], [9, 14, 14, 7, 12], [2, 11, 13, 2, 5], [7, 14, 6, 5, 0]]

108[[0, 3, 8, 9, 10], [6, 11, 9, 12, 8], [9, 14, 7, 14, 6], [10, 12, 3, 2, 3], [0, 6, 13, 10, 2]]

109[[5, 0, 12, 4, 2], [3, 5, 8, 10, 8], [5, 0, 6, 0, 0], [10, 14, 14, 13, 3], [11, 14, 2, 4, 5]]

110[[5, 0, 2, 8, 4], [0, 10, 4, 3, 12], [12, 1, 2, 12, 12], [6, 3, 2, 1, 9], [14, 6, 1, 4, 7]]

111[[14, 6, 5, 1, 12], [3, 6, 10, 9, 3], [3, 2, 8, 4, 11], [8, 10, 13, 6, 1], [11, 7, 7, 0, 8]]

112[[6, 8, 8, 2, 13], [2, 14, 1, 12, 13], [9, 12, 13, 2, 6], [4, 4, 14, 10, 7], [8, 12, 7, 8, 11]]

113[[1, 0, 14, 4, 8], [5, 8, 12, 10, 11], [4, 5, 7, 3, 1], [14, 2, 2, 13, 4], [5, 10, 6, 4, 13]]

114[[1, 12, 6, 2, 0], [1, 6, 4, 5, 10], [7, 4, 13, 3, 0], [6, 3, 14, 8, 4], [10, 10, 3, 8, 3]]

115[[7, 2, 2, 7, 8], [1, 4, 5, 6, 14], [9, 13, 5, 6, 7], [10, 4, 9, 2, 8], [12, 3, 13, 6, 7]]

116[[10, 1, 10, 9, 6], [0, 14, 0, 8, 3], [5, 9, 7, 12, 12], [10, 5, 9, 5, 14], [1, 13, 2, 14, 14]]

117[[1, 6, 12, 14, 12], [13, 7, 13, 12, 10], [4, 3, 5, 14, 14], [5, 4, 12, 6, 6], [6, 5, 11, 10, 7]]

118[[14, 10, 9, 4, 5], [2, 7, 10, 5, 13], [13, 13, 5, 1, 11], [1, 14, 5, 5, 1], [3, 6, 6, 13, 1]]

119[[14, 6, 5, 7, 13], [2, 4, 4, 1, 9], [11, 9, 12, 13, 4], [7, 12, 9, 9, 13], [9, 8, 13, 0, 4]]

120[[14, 7, 3, 3, 11], [4, 5, 7, 7, 5], [8, 4, 8, 12, 4], [0, 14, 4, 4, 8], [5, 2, 0, 0, 9]]

121[[11, 2, 0, 9, 10], [4, 1, 12, 0, 1], [9, 12, 4, 9, 9], [14, 3, 10, 4, 9], [10, 4, 0, 0, 7]]

122[[4, 2, 3, 0, 6], [14, 12, 6, 3, 5], [11, 14, 6, 8, 1], [6, 5, 8, 4, 3], [4, 8, 13, 1, 10]]

123[[10, 8, 10, 0, 1], [11, 3, 13, 3, 9], [1, 3, 13, 1, 1], [12, 3, 11, 8, 0], [14, 7, 7, 13, 13]]

124[[12, 7, 11, 6, 12], [4, 4, 13, 4, 3], [3, 3, 9, 11, 11], [5, 2, 8, 12, 13], [6, 14, 5, 6, 5]]

125[[5, 6, 12, 13, 7], [3, 12, 5, 0, 1], [6, 11, 12, 9, 7], [4, 14, 0, 10, 1], [12, 2, 12, 3, 6]]

126[[11, 0, 14, 8, 1], [5, 1, 5, 7, 7], [4, 4, 13, 10, 12], [9, 10, 6, 3, 6], [8, 6, 4, 1, 6]]

127[[1, 3, 2, 0, 0], [10, 5, 4, 13, 4], [3, 13, 13, 7, 7], [5, 3, 13, 7, 11], [0, 12, 5, 11, 4]]

128[[5, 7, 7, 14, 2], [8, 10, 8, 4, 11], [9, 10, 3, 0, 13], [5, 9, 1, 11, 11], [3, 8, 3, 6, 8]]

129[[1, 10, 1, 14, 2], [6, 2, 1, 9, 2], [4, 3, 13, 3, 7], [12, 13, 13, 13, 2], [1, 13, 11, 8, 9]]

130[[7, 8, 7, 7, 1], [4, 4, 14, 10, 9], [4, 2, 0, 7, 2], [2, 3, 8, 7, 8], [12, 4, 11, 5, 14]]

131[[14, 13, 4, 0, 0], [2, 14, 12, 0, 12], [0, 2, 11, 9, 1], [0, 7, 6, 1, 8], [6, 10, 0, 6, 12]]

132[[3, 7, 14, 13, 1], [3, 14, 5, 3, 10], [6, 1, 6, 13, 13], [14, 11, 7, 12, 14], [14, 3, 3, 4, 3]]

133[[5, 13, 8, 2, 0], [8, 10, 4, 11, 12], [2, 12, 5, 11, 7], [11, 13, 11, 12, 13], [9, 14, 0, 7, 1]]

134[[8, 5, 9, 5, 8], [0, 1, 1, 11, 6], [7, 13, 9, 14, 2], [12, 12, 12, 14, 10], [11, 12, 0, 1, 10]]

135[[11, 3, 2, 11, 12], [13, 4, 10, 6, 3], [2, 11, 6, 6, 13], [5, 2, 6, 14, 3], [4, 5, 2, 5, 5]]

136[[13, 12, 2, 4, 4], [12, 13, 7, 5, 9], [4, 12, 14, 2, 0], [8, 7, 14, 9, 3], [3, 11, 5, 7, 0]]

137[[10, 14, 5, 1, 0], [6, 0, 1, 3, 12], [7, 9, 6, 13, 7], [13, 14, 1, 14, 9], [12, 7, 11, 14, 4]]

138[[10, 14, 4, 7, 8], [8, 7, 9, 1, 8], [10, 9, 5, 7, 2], [6, 2, 10, 1, 12], [3, 6, 12, 8, 12]]

139[[11, 13, 4, 7, 0], [13, 1, 8, 3, 2], [0, 13, 8, 6, 1], [14, 0, 10, 9, 1], [1, 5, 7, 2, 7]]

140[[2, 0, 7, 12, 6], [0, 9, 14, 6, 10], [7, 14, 12, 14, 11], [7, 14, 10, 13, 5], [8, 13, 8, 14, 4]]

141[[4, 11, 13, 8, 0], [12, 0, 11, 6, 1], [14, 14, 5, 7, 3], [10, 6, 12, 13, 11], [13, 11, 3, 1, 4]]

142[[13, 7, 11, 14, 12], [9, 11, 10, 1, 6], [13, 11, 11, 9, 7], [3, 6, 8, 8, 6], [6, 3, 6, 1, 12]]

143[[3, 1, 9, 8, 3], [12, 6, 9, 1, 0], [1, 1, 5, 4, 14], [8, 10, 6, 7, 1], [6, 10, 3, 14, 14]]

144[[0, 3, 13, 3, 10], [14, 6, 4, 2, 9], [1, 8, 4, 11, 8], [12, 6, 9, 10, 12], [7, 2, 4, 13, 7]]

145[[0, 5, 7, 5, 13], [8, 8, 14, 2, 1], [12, 13, 10, 8, 10], [7, 11, 6, 13, 7], [10, 2, 6, 14, 1]]

146[[10, 1, 14, 6, 0], [0, 3, 0, 11, 0], [7, 12, 14, 7, 11], [0, 1, 14, 2, 1], [2, 12, 1, 0, 11]]

147[[8, 13, 14, 13, 11], [10, 9, 7, 9, 11], [7, 3, 2, 0, 2], [1, 4, 1, 6, 11], [10, 2, 3, 13, 3]]

148[[6, 1, 8, 4, 13], [9, 13, 9, 9, 13], [8, 3, 2, 8, 11], [1, 14, 1, 13, 14], [12, 6, 8, 7, 13]]

149[[7, 2, 11, 4, 7], [6, 5, 9, 0, 12], [11, 4, 4, 0, 11], [10, 0, 2, 6, 12], [6, 0, 0, 6, 0]]

150[[7, 0, 5, 11, 9], [11, 6, 6, 4, 14], [0, 5, 5, 1, 8], [4, 11, 13, 3, 6], [4, 11, 9, 3, 0]]

151[[11, 0, 6, 4, 7], [3, 3, 9, 6, 10], [11, 5, 12, 13, 6], [13, 1, 13, 14, 7], [14, 9, 12, 2, 3]]

152[[13, 1, 7, 0, 2], [8, 14, 2, 14, 8], [10, 11, 5, 6, 1], [14, 14, 13, 12, 5], [14, 6, 8, 12, 8]]

153[[14, 0, 7, 13, 6], [6, 8, 3, 12, 10], [10, 3, 1, 7, 8], [0, 14, 8, 0, 6], [9, 2, 13, 5, 8]]

154[[14, 10, 0, 12, 0], [6, 6, 2, 4, 5], [0, 11, 7, 0, 13], [6, 0, 9, 14, 7], [0, 0, 12, 1, 7]]

155[[4, 9, 14, 2, 0], [1, 11, 1, 4, 7], [0, 0, 13, 12, 11], [7, 5, 2, 3, 5], [6, 5, 0, 2, 12]]

156[[2, 7, 14, 3, 8], [0, 10, 0, 2, 5], [12, 11, 8, 0, 10], [8, 0, 6, 0, 6], [4, 10, 9, 4, 2]]

157[[14, 10, 12, 2, 0], [8, 5, 5, 9, 1], [7, 4, 6, 9, 13], [10, 9, 7, 12, 11], [5, 0, 5, 10, 11]]

158[[6, 13, 1, 9, 1], [0, 5, 13, 10, 14], [8, 10, 14, 1, 7], [8, 4, 11, 14, 13], [4, 7, 11, 1, 9]]

159[[5, 4, 10, 7, 9], [14, 9, 9, 11, 10], [7, 10, 6, 1, 8], [8, 8, 12, 7, 8], [5, 14, 1, 14, 10]]

160[[10, 11, 10, 8, 5], [7, 11, 5, 9, 3], [6, 10, 10, 4, 11], [9, 6, 7, 1, 13], [2, 0, 4, 14, 13]]

161[[9, 8, 2, 11, 14], [8, 9, 9, 1, 9], [4, 13, 5, 9, 5], [6, 8, 14, 10, 7], [9, 7, 9, 5, 3]]

[[6, 7, 3, 9, 7], [0, 0, 8, 6, 12], [5, 3, 4, 2, 6], [6, 13, 14, 9, 12], [2, 9, 6, 12, 3]]

163[[8, 14, 7, 9, 0], [11, 13, 1, 13, 2], [2, 1, 0, 6, 12], [5, 4, 12, 10, 5], [0, 12, 7, 2, 0]]

164[[8, 9, 9, 10, 0], [8, 8, 5, 6, 6], [9, 5, 1, 13, 6], [7, 10, 11, 9, 0], [6, 11, 10, 14, 8]]

165[[0, 3, 2, 0, 1], [2, 5, 8, 10, 5], [4, 1, 5, 9, 5], [12, 9, 13, 8, 11], [10, 10, 10, 8, 13]]

166[[9, 13, 9, 1, 14], [2, 8, 2, 3, 10], [2, 13, 2, 6, 7], [9, 14, 8, 13, 2], [12, 13, 7, 8, 14]]

167[[14, 2, 14, 5, 11], [4, 6, 1, 8, 3], [10, 5, 5, 10, 9], [4, 12, 2, 12, 1], [10, 14, 12, 2, 12]]

168[[5, 11, 11, 6, 3], [14, 1, 5, 8, 11], [7, 9, 2, 4, 0], [0, 10, 13, 9, 1], [6, 11, 6, 1, 3]]

[[7, 11, 14, 7, 7], [14, 13, 1, 4, 8], [5, 1, 9, 6, 14], [7, 4, 7, 5, 14], [14, 4, 10, 0, 7]]

170[[5, 13, 12, 11, 2], [1, 1, 5, 14, 11], [14, 3, 0, 8, 13], [4, 0, 11, 6, 13], [12, 12, 0, 14, 0]]

171[[11, 12, 1, 3, 5], [4, 11, 1, 9, 1], [1, 2, 10, 1, 3], [1, 6, 9, 7, 5], [11, 2, 6, 3, 4]]

172[[14, 8, 14, 7, 11], [3, 0, 10, 2, 4], [4, 4, 0, 10, 4], [6, 5, 0, 11, 1], [2, 11, 9, 13, 5]]

